restaurant_id,city,date,sales,temperature,rainfall,num_events,is_holiday,day_of_week,waste
18,Kolkata,2024-02-19,19591.99,25.1,14.0,0,0,Monday,25.28
15,Bengaluru,2024-04-13,22893.44,25.6,13.0,0,0,Saturday,27.63
10,Delhi,2024-02-04,81558.9,33.0,5.3,1,0,Sunday,79.46
15,Bengaluru,2024-07-19,20224.23,26.8,12.0,0,0,Friday,24.22
12,Bengaluru,2024-01-06,31990.57,24.4,2.9,0,0,Saturday,30.03
7,Delhi,2024-09-10,22129.35,23.4,13.1,0,0,Tuesday,24.68
11,Bengaluru,2024-10-08,27745.75,22.9,4.4,0,0,Tuesday,31.53
7,Delhi,2024-03-20,25386.11,28.9,8.9,1,0,Wednesday,24.38
19,Kolkata,2024-02-11,78202.01,29.9,6.8,0,0,Sunday,81.12
12,Bengaluru,2024-10-18,23930.15,29.2,8.7,0,0,Friday,28.8
16,Kolkata,2024-11-18,55481.55,31.1,3.1,0,0,Monday,56.85
11,Bengaluru,2024-10-15,32121.88,24.2,14.6,0,0,Tuesday,35.94
9,Delhi,2024-02-05,92304.35,26.5,10.2,1,0,Monday,91.75
5,Mumbai,2024-07-11,34063.26,28.8,21.2,0,0,Thursday,40.76
10,Delhi,2024-08-08,56923.57,29.1,14.4,0,0,Thursday,62.11
5,Mumbai,2024-03-10,42329.5,24.0,0.0,0,0,Sunday,42.03
7,Delhi,2024-10-02,19828.34,30.6,10.3,0,1,Wednesday,27.65
18,Kolkata,2024-06-27,19889.37,28.6,5.9,0,0,Thursday,22.32
23,Chennai,2024-10-25,58870.55,33.8,2.6,0,0,Friday,56.64
23,Chennai,2024-07-27,60243.0,29.7,3.3,0,0,Saturday,60.2
17,Kolkata,2024-07-14,44368.91,26.8,2.1,0,0,Sunday,47.04
6,Delhi,2024-10-29,91953.79,24.5,9.4,1,0,Tuesday,94.62
13,Bengaluru,2024-03-13,55843.94,29.2,9.2,0,0,Wednesday,57.44
9,Delhi,2024-12-19,82565.53,22.7,3.4,0,0,Thursday,83.65
9,Delhi,2024-08-14,69192.41,32.6,3.7,0,0,Wednesday,68.23
24,Chennai,2024-05-16,67003.55,28.4,11.2,0,0,Thursday,72.25
1,Mumbai,2024-08-02,21813.0,25.5,51.5,0,0,Friday,36.63
22,Chennai,2024-02-21,17937.46,27.6,11.6,1,0,Wednesday,20.96
13,Bengaluru,2024-02-20,48977.76,28.8,10.1,0,0,Tuesday,53.11
12,Bengaluru,2024-02-15,28273.66,33.0,5.1,1,0,Thursday,26.89
3,Mumbai,2024-05-10,59628.56,28.6,12.7,0,0,Friday,66.53
1,Mumbai,2024-01-04,22470.99,32.0,5.0,0,0,Thursday,27.02
19,Kolkata,2024-11-17,82805.81,25.8,6.9,0,0,Sunday,83.09
25,Chennai,2024-06-16,44541.61,33.0,13.9,0,0,Sunday,46.29
10,Delhi,2024-10-25,60025.94,24.9,12.4,0,0,Friday,68.35
19,Kolkata,2024-07-27,80482.35,25.0,10.3,0,0,Saturday,86.65
1,Mumbai,2024-06-30,23363.73,26.0,59.5,0,0,Sunday,39.5
5,Mumbai,2024-06-03,38796.23,31.8,74.4,0,0,Monday,60.26
22,Chennai,2024-03-10,19644.16,23.2,5.0,0,0,Sunday,21.4
22,Chennai,2024-02-20,19886.17,31.2,0.7,1,0,Tuesday,24.02
18,Kolkata,2024-02-01,20292.54,28.2,11.2,0,0,Thursday,24.26
22,Chennai,2024-05-14,16099.24,25.7,0.6,0,0,Tuesday,17.48
24,Chennai,2024-03-13,75008.19,33.9,6.0,0,0,Wednesday,79.34
